alpha I DeltaAlpha DeltaI
0   77   0.5 0.5
5   71   0.5 0.5
10  65   0.5 0.5
15  58   0.5 0.5
20  49.5 0.5 0.5
25  40.5 0.5 0.5
30  33   0.5 0.5
35  25   0.5 0.5
40  19   0.5 0.5
45  13   0.5 0.5
50  9    0.5 0.5
55  6    0.5 0.5
60  4    0.5 0.5
65  3    0.5 0.5
70  3    0.5 0.5
75  3    0.5 0.5
80  4.5  0.5 0.5
85  7    0.5 0.5
90  11   0.5 0.5
95  16   0.5 0.5
100 22   0.5 0.5
105 29   0.5 0.5
110 36   0.5 0.5
115 43   0.5 0.5
120 51   0.5 0.5
125 56.5 0.5 0.5
130 63   0.5 0.5
135 68   0.5 0.5
140 72.5 0.5 0.5
145 76   0.5 0.5
150 78   0.5 0.5
155 80   0.5 0.5
160 80   0.5 0.5
165 80   0.5 0.5
170 79   0.5 0.5
175 76.5 0.5 0.5
180 72.5 0.5 0.5
185 67.5 0.5 0.5
190 61   0.5 0.5
