alpha I DeltaAlpha DeltaI
0   13   0.5 0.5
5   12   0.5 0.5
10  11   0.5 0.5
15  11   0.5 0.5
20  12   0.5 0.5
25  13   0.5 0.5
30  16   0.5 0.5
35  19   0.5 0.5
40  23   0.5 0.5
45  27   0.5 0.5
50  32   0.5 0.5
55  37.5 0.5 0.5
60  44   0.5 0.5
65  49   0.5 0.5
70  54   0.5 0.5
75  58   0.5 0.5
80  62   0.5 0.5
85  65.5 0.5 0.5
90  68   0.5 0.5
95  69   0.5 0.5
100 70   0.5 0.5
105 70   0.5 0.5
110 69   0.5 0.5
115 67   0.5 0.5
120 64   0.5 0.5
125 60.5 0.5 0.5
130 56   0.5 0.5
135 51.5 0.5 0.5
140 46.5 0.5 0.5
145 41   0.5 0.5
150 36   0.5 0.5
155 30.5 0.5 0.5
160 26   0.5 0.5
165 22   0.5 0.5
170 18   0.5 0.5
175 15   0.5 0.5
180 12   0.5 0.5
185 10   0.5 0.5
190 10   0.5 0.5
